"filename", "language", "Python", "Django txt", "Django HTML", "Markdown", "CSS", "JavaScript", "HTTP", "comment", "blank", "total"
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\templates\studentweb\attendtime.html", "Django HTML", 0, 0, 30, 0, 0, 0, 0, 0, 13, 43
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\templates\studentweb\cap.html", "Django HTML", 0, 0, 30, 0, 0, 0, 0, 0, 0, 30
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\templates\studentweb\changepsw.html", "Django HTML", 0, 0, 59, 0, 0, 0, 0, 0, 10, 69
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\templates\studentweb\changepswsuccess.html", "Django HTML", 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\templates\studentweb\chart.html", "Django HTML", 0, 0, 56, 0, 0, 0, 0, 0, 7, 63
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\templates\studentweb\index.html", "Django HTML", 0, 0, 16, 0, 0, 0, 0, 0, 8, 24
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\templates\studentweb\lessoninfo.html", "Django HTML", 0, 0, 25, 0, 0, 0, 0, 0, 10, 35
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\templates\studentweb\login.html", "Django HTML", 0, 0, 50, 0, 0, 0, 0, 0, 8, 58
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\templates\studentweb\statistics.html", "Django HTML", 0, 0, 17, 0, 0, 0, 0, 0, 7, 24
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\test.py", "Python", 15, 0, 0, 0, 0, 0, 0, 3, 3, 21
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\test.txt", "Django txt", 0, 104, 0, 0, 0, 0, 0, 0, 35, 139
"Total", "-", 8923, 5246, 494, 2, 1268, 2242, 8, 668, 865, 19716
