"filename", "language", "Python", "NGINX Conf", "Markdown", "CSS", "HTTP", "Django HTML", "Django txt", "JavaScript", "comment", "blank", "total"
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\static\js\js\exporting.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 34, 10, 0, 44
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\static\js\js\feather.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 2, 11, 0, 13
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\static\js\js\highcharts-zh_CN.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\static\js\js\highcharts.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 566, 8, 0, 574
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\static\js\js\jquery-3.4.1.slim.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\static\js\js\login.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 66, 0, 9, 75
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\static\js\login.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 66, 0, 9, 75
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\templates\base.html", "Django HTML", 0, 0, 0, 0, 0, 65, 0, 0, 0, 20, 85
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\templates\base_auth.html", "Django HTML", 0, 0, 0, 0, 0, 22, 0, 0, 0, 13, 35
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\templates\error\usernotexist.html", "Django HTML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\templates\error\wrongattr.html", "Django HTML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\templates\error\wrongcaptcha.html", "Django HTML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\templates\error\wrongpassword.html", "Django HTML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\templates\partials\_sidebar.html", "Django HTML", 0, 0, 0, 0, 0, 23, 0, 0, 0, 2, 25
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\templates\studentweb\attendtime.html", "Django HTML", 0, 0, 0, 0, 0, 30, 0, 0, 0, 13, 43
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\templates\studentweb\cap.html", "Django HTML", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 30
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\templates\studentweb\changepsw.html", "Django HTML", 0, 0, 0, 0, 0, 59, 0, 0, 0, 10, 69
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\templates\studentweb\changepswsuccess.html", "Django HTML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\templates\studentweb\chart.html", "Django HTML", 0, 0, 0, 0, 0, 56, 0, 0, 0, 7, 63
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\templates\studentweb\index.html", "Django HTML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 8, 24
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\templates\studentweb\lessoninfo.html", "Django HTML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 10, 35
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\templates\studentweb\login.html", "Django HTML", 0, 0, 0, 0, 0, 50, 0, 0, 0, 8, 58
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\templates\studentweb\statistics.html", "Django HTML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 7, 24
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\test.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 3, 3, 23
"Total", "-", 8040, 55, 2, 1268, 8, 494, 5142, 2242, 760, 814, 18825
