Date : 2021-03-22 19:28:08
Directory : e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering
Total : 100 files,  18913 codes, 433 comments, 871 blanks, all 20217 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\base_auth.html                        | Django HTML |         22 |          0 |         13 |         35 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\cap.html                              | Django HTML |         30 |          0 |          0 |         30 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\changepsw.html                        | Django HTML |         59 |          0 |          9 |         68 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\changepswsuccess.html                 | Django HTML |         18 |          0 |          0 |         18 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\chart.html                            | Django HTML |         56 |          0 |          6 |         62 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\error\usernotexist.html               | Django HTML |          4 |          0 |          1 |          5 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\error\wrongcaptcha.html               | Django HTML |          4 |          0 |          1 |          5 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\error\wrongpassword.html              | Django HTML |          4 |          0 |          1 |          5 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\index.html                            | Django HTML |         16 |          0 |          8 |         24 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\lessoninfo.html                       | Django HTML |         27 |          0 |         10 |         37 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\login.html                            | Django HTML |         50 |          0 |          8 |         58 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\other\css\index.css                   | CSS         |         48 |          0 |          2 |         50 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\other\css\style.css                   | CSS         |      1,023 |          8 |         28 |      1,059 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\other\index.html                      | Django HTML |         68 |          0 |          5 |         73 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\other\js\index.js                     | JavaScript  |        482 |         70 |         29 |        581 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\other\login.html                      | Django HTML |         35 |          0 |          1 |         36 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\partials\_sidebar.html                | Django HTML |         23 |          0 |          1 |         24 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\register.html                         | Django HTML |         47 |          0 |          6 |         53 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\show.html                             | Django HTML |         45 |          0 |          5 |         50 |
