"filename", "language", "Python", "JSON with Comments", "Markdown", "Properties", "Django HTML", "Django txt", "CSS", "compressionTargetFile", "JavaScript", "CSV", "comment", "blank", "total"
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\CoursePlanModel\Database_20210806155316.py", "Python", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 71
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\CoursePlanModel\Database_20210806160427.py", "Python", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 71
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\CoursePlanModel\Database_20210807154117.py", "Python", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 71
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\CoursePlanModel\Database_20210807160140.py", "Python", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 71
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\CoursePlanModel\Database_20210810133023.py", "Python", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 107
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\CoursePlanModel\Database_20210810133528.py", "Python", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 113
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\CoursePlanModel\Database_20210810134121.py", "Python", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 113
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\RunningAccountModel\Database_20210806152915.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\RunningAccountModel\Database_20210806155802.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 38
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\RunningAccountModel\Database_20210806160447.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 40
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\RunningAccountModel\Database_20210807154117.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 40
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\RunningAccountModel\Database_20210807160150.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 40
